dataset,method,instability,invalidity,dissimilarity,dissparsity,implausability,discriminative_power
titanic,GS,,0.4353753626346588,56652596.0,0.6876543164253235,3060289.0,0.7106550931930542
breast_cancer,validity,1646.97119140625,0.000312569725792855,1744.7589111328125,1.0,570.2199096679688,0.8125730752944946
breast_cancer,connected_ball,1624.3614501953125,0.0003409564378671348,1720.125,1.0,570.2199096679688,0.8131579756736755
breast_cancer,robust,3558.891357421875,8.881568646756932e-05,3594.6103515625,1.0,2010.7052001953125,0.837543785572052
breast_cancer,feasability,3432.652587890625,6.419718556571752e-05,3857.224365234375,1.0,1933.1650390625,0.8516374230384827
breast_cancer,discriminative,1674.2215576171875,0.00026599050033837557,1821.05908203125,1.0,704.1705322265625,0.807894766330719
breast_cancer,plausable,1401.1339111328125,0.06817854195833206,1240.2462158203125,1.0,182.936767578125,0.8005264401435852
breast_cancer,similarity,7264.51513671875,0.4844167232513428,6849.10009765625,1.0,542.2864379882812,0.8645538091659546
breast_cancer,combined,7706.06201171875,7.10850945324637e-05,7566.193359375,1.0,5472.1611328125,0.8589473962783813
breast_cancer,CLUE,,,,,,
breast_cancer,DICE,2.3434605598449707,0.19947433471679688,2.1193466186523438,0.9419999718666077,1.050757646560669,0.7248538136482239
breast_cancer,GS,,0.48500776290893555,61.54196548461914,1.0,4.362194538116455,0.6055880784988403
boston_housing,validity,272236960.0,0.00024462598958052695,355397280.0,1.0,99690136.0,0.804254949092865
boston_housing,connected_ball,306612960.0,0.00021980101882945746,363258016.0,1.0,101781224.0,0.8049384951591492
boston_housing,robust,1198760448.0,1.7673937691142783e-05,1227269376.0,1.0,587769152.0,0.801520824432373
boston_housing,feasability,1638645888.0,1.302787222812185e-05,1670155520.0,1.0,709842816.0,0.7986158728599548
boston_housing,discriminative,796040384.0,1.2914081708004232e-05,850353216.0,1.0,475350016.0,0.7990430593490601
boston_housing,plausable,557000960.0,0.047249168157577515,617640640.0,1.0,34333988.0,0.799342155456543
boston_housing,similarity,2259902976.0,0.47105345129966736,1974472064.0,1.0,104322264.0,0.844298243522644
boston_housing,combined,1101667712.0,2.7987089197267778e-05,1222727552.0,1.0,551492736.0,0.796821653842926
boston_housing,CLUE,,,,,,
boston_housing,DICE,167535024.0,0.3360511362552643,131680272.0,0.8621378540992737,5103371.0,0.7785372138023376
boston_housing,GS,,0.48121002316474915,136649152.0,1.0,45043600.0,0.7784090638160706
